Company_Brand,Sector,Main Sector,industry,Stage,Amount,HeadQuarter,What it does,Year,Founded,Founders,Investor,Years of Existence
Tilt,Bike Rental,Business,Business,,125000.0,Bangalore,A bike-share for Indian campuses,2021,2016,Deepak VS,Y Combinator,5
Awign Enterprises,"Business Development, Market Research, Outsourcing",Business,Business,Seed,730000.0,Bangalore,Operations and manpower outsourcing startup,2018,2016,,,2
Survaider,"Business Intelligence, Customer Service, Market Research, Saas",Business,Business,Seed,500000.0,Bengaluru,Stethoscope for customer feedback !,2018,2016,,,2
Prodo,Business Supplies & Equipment,Business,Business,Pre-seed,300000.0,New Delhi,"Prodo is an e-commerce platform that provides manufacturing of made-to-order, readymade and white labeled consumables for medium and large enterprises.",2021,2021,"Sameen Husain, Abhiroop Srivastava","Titan Capital, LetsVenture",0
Hire Me Car,Car Service,Business,Business,Seed,113866383.8,Noida,India's largest cloud based digital discovery and services provisioning platform for the taxi rental,2020,2016,Pankaj Sharma,,4
Pitstop,Car Service,Business,Business,,1020000.0,Bangalore,"Pitstop owns and operates a network of garages that provides car repair, detailing",2020,2015,Mihir Mohan Mishra,"Clairvest Group, Ontario Centres of Excellence",5
myHQ,"Collaboration, Communities, Coworking, Sharing Economy",Business,Business,Series A,500000.0,Delhi,myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,2018,2016,,,2
Kiko Live,Commerce,Business,Business,Pre-series A,1000000.0,Gurugram,Video-based social commerce startup,2021,2020,"Alok Chawla, Shivam","Dinesh Agarwal, Amarjit Batra",1
India Accelerator,"Communities, Coworking, Incubators",Business,Business,Angel,101098638.0252758,Gurgaon,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,2018,2016,,,2
Doola,Company-As-A-Service,Business,Business,,3000000.0,New York,The ultimate One-Stop-Shop?Ã¤Ã³? to help US and Non-US Founders to turn an idea into their dream US Business,2021,2020,"Arjun Mahadevan, JP Pincheira",Nexus Venture Partners,1
Colive.in,Consumer,Business,Business,Seed,1800000.0,Bangalore,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,2018,2016,,,2
MCaffeine,Consumer Goods,Business,Business,Seed,467200.0,Mumbai,MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.,2018,2016,,,2
Nua,Consumer Goods,Business,Business,Seed,101098638.0252758,Mumbai,Nua is an e-commerce and feminine care brand platform focused on creating women care products.,2018,2016,,,2
1Bridge,Consumer Goods,Business,Business,,2500000.0,Bangalore,"Village Commerce Network - Bridging Aspirations, Creating Opportunities, Bringing Prosperity & Abundance to our village",2021,2016,"Madan Padaki, Anil Kumar, M Chakrawarty",C4D Partners,5
NOTO,Consumer Goods,Business,Business,Pre-series A,500000.0,Mumbai,"A healthy, low-calorie ice cream for the millennial Indian with an incurable sweet tooth.",2021,2019,"Varun Sheth, Ashni Sheth","Titan Capital, Rockstud Capital,  John Abraham, WEH Ventures",2
DrinkPrime,Consumer Goods,Business,Business,,1000000.0,Bangalore,India's Smartest Water Purifiers and are redefining water purifier ownership.,2021,2016,Anil Kejriwal,"UC Inclusive Credit, Western Capital",5
Neeman,Consumer Goods,Business,Business,Series A,2000000.0,Hyderabad,India's first Startup to use the world's most revolutionary Natural & Renewable fibers in Footwear,2021,2017,Taran Chhabra,Sixth Sense Ventures,4
ChefKart,Consumer Goods,Business,Business,Pre-seed,300000.0,Gurugram,"ChefKart is an end to end kitchen aide that plans, shops and cooks for you in your home kitchen.",2021,2020,"Vaibhav Gupta, Arpit Gupta, Aman Gupta","Lead Angels, Titan Capital, Pravega Ventures",1
Evenflow Brands,Consumer Goods,Business,Business,,500000.0,Mumbai,Identify and partner with the upcoming eCommerce-1st brands that sell on marketplaces and have a successful track record of positive reviews & ratings,2021,2020,"Utsav Agarwal, Pulkit Chhabra",,1
Evenflow Brands,Consumer Goods,Business,Business,,500000.0,Mumbai,Identify and partner with the upcoming eCommerce-1st brands that sell on marketplaces and have a successful track record of positive reviews & ratings,2021,2020,"Utsav Agarwal, Pulkit Chhabra",,1
Perfora,Consumer Goods,Business,Business,Pre-seed,260000.0,Gurugram,"Building a disruptive, modern, and functional oral care brand for consumers in India and globally.",2021,2021,"Tushar Khurana, Jatan Bawa",Sauce.vc,0
Beco,Consumer Goods,Business,Business,Seed,500000.0,Mumbai,"Eco-friendly home and kitchen care products that are plastic-free, high in quality and affordable.",2021,2018,"Aditya Ruia, Akshay Varma, Anuj Ruia",Climate Angels Fund,3
The Sleep Company,Consumer Goods,Business,Business,Pre-series A,1000000.0,Mumbai,Patent Pending sleep technology developed by actual Rocket Scientists and sleep experts after years of research.,2021,2019,,Fireside Ventures,2
Green Soul,Consumer Goods,Business,Business,,200000.0,Ambernath,Green Soul is No.1 brand on Amazon India in Ergonomic chairs category in terms of customer reviews.,2021,2016,Ravi Khushwani,velocity.in,5
Koparo,Consumer Goods,Business,Business,Seed,700000.0,New Delhi,Koparo is a direct-to-consumer brand that is addressing the needs of modern Indian families and their homes.,2021,2020,Simran Khara,"Saama Capital???, ???Titan Capital???, DSG Consumer Partners",1
Svish,Consumer Goods,Business,Business,Seed,400000.0,Gurugram,D2C personal hygiene startup,2021,2020,"Ishan, Jaideep Mahajan",Nueva,1
The Indus Valley,Consumer Goods,Business,Business,,1100000.0,Chennai,Consumer GoodsThe Indus Valley is a Direct to Consumer (D2C) healthy kitchenware brand.,2021,2016,"Jagadeesh Kumar, Madhumitha Udaykumar","Rukam Capital, DSG Consumer Partners, The Chennai Angels",5
Vanity Wagon,Consumer Goods,Business,Business,Pre-series A,700000.0,New Delhi,Vanity Wagon is India's first true information oriented clean beauty marketplace.,2021,2018,"Prateek, Naina Ruhail, Sahil Shreshtha",Inflection Point Ventures,3
Go Swift,Consumer Services,Business,Business,Pre-series A,2000000.0,Bangalore,Help small & medium sized businesses to grow by helping them with their shipping requirements at the cheapest and most reliable service.,2021,2019,"Shyam Kalita, Debanshu Sinha, Prayas Mittal",Kalaari Capital,2
Edvizo,Consumer Services,Business,Business,Pre-series A,1000000.0,Bangalore,"Edvizo is an online marketplace to help students and parents find, compare and enroll in the best and trusted private institutes in their locality",2021,2017,Ravi Nishant,Inflection Point Ventures,4
Supertails,Consumer Services,Business,Business,,700000.0,Bangalore,Supertails is building a digital pet care platform which offers expert led healthcare services and products.,2021,2021,"Vineet Khanna, Varun Sadana, Aman Tekriwal",Alteria Capital,0
Shadez,Consumer Services,Business,Business,Pre-series A,200000.0,Mumbai,"Smart painting process, latest automatic tools and professional painters make the process faster than any other conventional process of painting .",2021,2019,"Adarsh Anand, Amit Tiwari",Inflection Point Ventures,2
Coutloot,Consumer Services,Business,Business,Pre-series,8000000.0,Mumbai,"Empowering local markets to sell online socially, our mission is to bring 25M sellers online by 2023",2021,2016,"Mahima Kaul, Jasmeet Thind","Ameba Capital, 9Unicorns",5
Bikry app,Consumer Software,Business,Business,,1300000.0,Noida,"Bikry, a Direct-to-Customer platform to start your online store within 30 seconds at 0% commission",2021,2019,Abhishek Bhayana,YCombinator,2
Friyey,Co-Working,Business,Business,,113866383.8,Pune,Co working space startup,2020,2016,Yogesh Thore,Tarun Bhalla,4
Stylework,Co-Working,Business,Business,Pre-series A,500000.0,Gurugram,Stylework is an unconventional co-working space aggregator that is going to change the way people work.,2021,2017,Sparsh Khandelwal,Inflection Point Ventures,4
Bira91,Craft Beer,Business,Business,,764000.0,New Delhi,A craft beer brand manufactured by B9 Beverages Pvt. Ltd.,2020,2015,Ankur Jain,Anicut Capital,5
CustomerGlu,Crm,Business,Business,,320000.0,Bangalore,CustomerGlu is a Low code Interactive Engagement platform to improve user stickiness.,2021,2016,"Prateek Gupta, Raman Shrivastava, Sumant US","Kumar Aakash, Amit Singhal",5
Verloop,"Customer Service, Information Technology, Internet, Sales Automation",Business,Business,Series A,3000000.0,Bangalore,Verloop is an automated customer support and engagement platform.,2018,2016,,,2
Dunzo,"Customer Service, Messaging, Mobile Apps, Personalization",Business,Business,Debt Financing,1022000.0,Bangalore,Dunzo is an app that connects you with the nearest available delivery partner to pickup or deliver items for you.,2018,2016,,,2
G.O.A.T,D2C,Business,Business,Series A,36000000.0,Bangalore,G.O.A.T Brand Labs provides a tech-enabled platform for D2C brands to scale.,2021,2021,"Rishi Vasudev, Rameswar Misra","Tiger Global, Flipkart Ventures",0
Mensa,D2C,Business,Business,Series B,135000000.0,Bangalore,"Mensa scales brands leveraging its expertise in ecommerce, technology, marketing, category management & demand planning.",2021,2021,Ananth Narayanan,"Alpha Wave Ventures, Falcon Edge Capital",0
GlobalBees,D2C Business,Business,Business,Series A,150000000.0,New Delhi,Globalbees partners with entrepreneurs who have built an online-first business.  Our team scales up D2C businesses in India and abroad.,2021,2021,Nitin Agarwal,"FirstCry, Lightspeed Venture Partners",0
WE-Hub,Entreprenurship,Business,Business,,113866383.8,Hyderabad,WE HUB is the first-of-its-kind and only State-run platform for Women Entrepreneurs.,2020,2018,Deepthi Ravula,,2
NCOME,Escrow,Business,Business,,400000.0,New Delhi,Escrow-as-a-service platform,2020,2020,Ritesh Tiwari,"Venture Catalysts, PointOne Capital",0
Creator?ÃÃs Gurukul,Facilities Support Services,Business,Business,Angel,101098638.0252758,Gurgaon,A coworking space provider.,2018,2016,,,2
Forum for Innovation Incubation Research and Entrepreneurship,"Funding Platform, Incubators, Non Profit",Business,Business,Grant,1496500.0,Marg?Ãºo,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",2018,2016,,,2
Workflexi,Human Resources,Business,Business,Seed,146000.0,Bangalore,"Be Smart, Work on Contract,Be Smart, Hire on Contract",2018,2016,,,2
Benepik,Human Resources,Business,Business,Seed,101098638.0252758,Gurgaon,HR Technology start-up.,2018,2016,,,2
RiseBird,Human Resources,Business,Business,,500000.0,Pune,RiseBird provides on-demand 2.5K + expert video interviews and A.I. powered insights to help companies hire online.,2021,2018,Ashutosh Seth,SAB Holdings,3
Apna,Human Resources,Business,Business,Series B,70000000.0,Bangalore,India's Professional App - Apna is dedicated to solving the problem of unemployment at the grassroot level,2021,2019,Nirmit Parikh,"Sequoia Capital India, rocketship.vc",2
Cuvette Tech,Human Resources,Business,Business,Seed,1800000.0,Bangalore,Help startups to find interns who are verified on their software development skills and problem-solving abilities.,2021,2020,"Atul Singhal, Sudhanshu Singh","Varun Alagh, Harish Daiya",1
Spottabl,Human Resources,Business,Business,Seed,400000.0,Bangalore,Spottabl is a technology driven recruitment platform that has helped over 50 tech startups and growth stage companies discover their top talent through its intelligent and human backed model.,2021,2017,"Vanishri Deshpande, Satheesh K V, Anupam Choudhari","LetsVenture, Paradigm Shift VC, Binny Bansal",4
Hyperdata.IO,Market Research,Business,Business,Angel,730000.0,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,2018,2016,,,2
GenRobotic,Market Research,Business,Business,Seed,101098638.0252758,Trivandrum,A Robotic Company.,2018,2016,,,2
FastFox,Rental,Business,Business,Series A,1460000.0,Gurgaon,FastFox: Market Network for Home Rentals (India),2018,2016,,,2
PumPumPum,Rental,Business,Business,Pre-series A,700000.0,Gurugram,Pumpumpum is a car rental company.,2021,2018,"Tarun Lawadia, Sameer Kalra","Kogta Financial India Limited, ICICI Bank",3
Ontrack Technologies Pvt. Ltd,Retail,Business,Business,Seed,101098638.0252758,Bangalore,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,2018,2016,,,2
WalMart India,Retail,Business,Business,Venture - Series Unknown,37680000.0,Gurgaon,"Wal-Mart India Private Limited is a wholly owned subsidiary of Walmart Stores Inc.,",2018,2016,,,2
WakeFit,Retail,Business,Business,Series B,20000000.0,Bangalore,Wakefitkart is a mattress manufacturing company,2020,2016,"Ankit Garg, Chaitanya Ramalingegowda",Sequoia Capital.,4
CARS24,Retail,Business,Business,Series E,200000000.0,Haryana,CARS24 is an India-based platform for selling used cars.,2020,2015,"Mehul Agrawal, Ruchit Agarwal, Vikram Chopra","Global Car Group, Freemark holdings",5
Jumbotail,Retail,Business,Business,Series B2,11000000.0,Bangalore,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,2020,2015,"Ashish Jhina, Karthik Venkateswaran","Nexus Venture Partners, Capria Ventures",5
Tiliter,Retail,Business,Business,,7500000.0,Sydney,Software that uses computer vision to recognise products without barcodes,2020,2017,"Chris Sampson, Marcel Herz, Martin Karafilis","AngelList, Investec",3
SuperK,Retail,Business,Business,Seed,800000.0,"Small Towns, Andhra Pradesh",SuperK is a full-stack solution to empower small format retail stores in India.,2021,2019,Neeraj Menta,STRIVE VC,2
DusMinute,Retail,Business,Business,Pre-series A,1100000.0,Bangalore,DusMinute aims to transform how communities live by giving them access to world-class amenities at their doorstep.,2021,2017,Apoorva Mishra,Indian Angel Network,4
1K Kirana Bazaar,Retail,Business,Business,,7000000.0,Gurugram,India's First and Largest Network of Small-Town Kirana Stores,2021,2018,"Abhishek Halder, Anilesh Yadav, Kumar Sangeetesh","Info Edge, FalconEdge",3
Nestasia,Retail,Business,Business,Series A,4000000.0,Kolkata,"Artisanal, Handmade, bio conscious crafts from South East Asia.",2021,2018,"Aditi Murarka Agrawal, Anurag Agrawal","Varun Alagh, Sahil Barua",3
DealShare,Retail,Business,Business,,144000000.0,Bangalore,The next generation disruptive (social) e-commerce product for the masses.,2021,2018,"Rajat Shikhar, Vineet Rao, Sourjyendu Medda",Tiger Global,3
VilCart,Retail,Business,Business,,2000000.0,Bangalore,Vilcart's motto is sustainable rural development through stability for rural retailers.,2021,2017,Prasanna Kumar,Nabventures,4
Xpand,Retail,Business,Business,Pre-series A,1500000.0,New Delhi,LMCE handholds brands and enables their reach across the UNSERVED & UNDER-SERVED pockets of the country in a SUSTAINABLE manner to drive MEASURABLE growth.,2021,2021,Sanjay Kaul,"Akash Prakash, Madhu Jayakumar, Dipinder Sandhu, Shagun Khandelwal",0
F5,Retail,Business,Business,Pre-series A,600000.0,New Delhi,One-Stop Solution for Daily Workplace Needs,2021,2018,"Raghav Arora, Lalit Aggarwal",Auxano Capital,3
ClearDekho,Retail,Business,Business,Pre-series A,4000000.0,Ghaziabad,ClearDekho is India?ÃÃs Leading Affordable Eyewear Brand.,2021,2016,"Saurabh Dayal, Shivi Singh",Aroa Ventures,5
SuperZop,Retail,Business,Business,Series A,4000000.0,Mumbai,SuperZop is India's first and only vernacular B2B Grocery e-commerce platform that is transforming the unorganized retail sector.,2021,2016,"Raghuveer Allada, Prithwi Singh, Darshan Krishnamurthy",Incofin?ÃÃs India Progress Fund,5
Gobbly,Retail,Business,Business,Pre-series A,900000.0,Gurugram,A 24x7 automated retail store filled with daily essentials.,2021,2019,"Ankur Agarwal, Amit Ahuja","Anicut Angel Fund, Sauce.VC",2
Dukaan,Retail,Business,Business,Series A,11000000.0,Bangalore,"Help forward thinking entrepreneurs by providing them the platform to start, grow, and manage their business online.",2021,2020,"Suumit Shah, Subhash Choudhary","HOF Capital, Old Well Ventures, LetsVenture, 9Unicorns",1
Awign Enterprises,Work Fulfillment,Business,Business,,500000.0,Bangalore,Operations and manpower outsourcing startup,2020,2016,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M",4
Spoonshot,Fmcg,Business,Business,Seed A,1000000.0,Bangalore,A food science company using AI to predict consumer taste and food trends,2020,2015,"Kishan Vasani, Sai Sreenivas Kodur","SRI Capital, Techstars Farm to Fork Accelerator",5
OM Bhakti,Fmcg,Business,Business,Seed Round,113866383.8,Bangalore,A puja cotton-wicks manufacturing startup,2020,2016,"Sridhar Joshi, Prashant Kulkarni",Venture Catalysts,4
Epigamia,Fmcg,Business,Business,Series C,113866383.8,Mumbai,Flavoured and greek yoghurt brand,2020,2015,Rohan Mirchandani,KA Enterprise,5
Rage Coffee,Fmcg,Business,Business,,113866383.8,Delhi,Provides effective Instant Coffee Infused with Natural Brain Vitamins & Plant Based Cognitive Enhancers,2020,2016,Bharat Sethi,Refex Capital,4
ReDesyn,Merchandise,Business,Business,Pre-series A,300000.0,Mumbai,"Merchandise drop-shipping platform for influencers, designers, creators & brands.",2021,2016,"Smriti Dubey, Shikhar Vaidya",Anthill Ventures,5
Rare Planet,Reatil Startup,Business,Business,Pre-series A,113866383.8,Kolkata,Rare Planet sells handicrafts made by local artisans.,2020,2015,"Ranodeep Saha, Vijay Kumar",Venture Catalysts,5
Battery Smart,Renewables & Environment,Business,Business,Pre-series A,7000000.0,New Delhi,Battery Smart is building India?ÃÃs largest network of battery swapping stations providing Li-ion batteries,2021,2019,"Pulkit Khurana, Siddharth Sikka","Blume Ventures, Orios Ventures",2
Livve,Rental Space,Business,Business,Seed,1500000.0,Cochin,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.,2020,2015,Maya Lakshman,,5
Livve Homes,Rental Space,Business,Business,,5000000.0,Bangalore,"India's homegrown online portal, championing the region for a brighter, more exciting livvable future. Right from simply connecting owners and tenants and to managing everything in between",2021,2017,Maya Lakshman,Angel investors,4
F5,Retail Aggregator,Business,Business,,113866383.8,,It provides opportunities for its partner vendors to upsell and cross-sell their products.,2020,2018,"Raghav Arora, Lalit Kumar Aggarwal",Venture Catalysts,2
The New Shop,Retail Startup,Business,Business,Seed,500000.0,New Delhi,The New Shop is a chain of high speed retail stores,2020,2019,"Charak Almast, Aastha Almast, Mani Dev Gyawali",Huddle Accelerator,1
Rare Planet,Retail Startup,Business,Business,Pre-series A,400000.0,Kolkata,Rare Planet sells handicrafts made by local artisans.,2020,2015,"Ranodeep Saha, Vijay Kumar",Venture Catalysts,5
Arzooo,Retail Tech,Business,Business,Series A,7500000.0,Bangalore,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales",2020,2016,"Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group",4
Gobbly,Retail Tech,Business,Business,Seed Round,500000.0,Gurugram,A contactless retail store filled with fruits and veggies,2020,2016,Ooshma Garg,Sauce vc,4
Hash,Tobacco,Business,Business,,3500000.0,New Delhi,Hash is a new startup in consumer goods.,2021,2020,Shwetank Jain,Amrac Investment Trust,1
AlgoBulls,Trading Platform,Business,Business,,200000.0,Mumbai,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,2020,2019,"Pushpak Dagade, Jimmit Patel and Suraj Bathija",Venture Catalysts,1
GlobalFair,Trading Platform,Business,Business,Seed,2000000.0,Gurugram,One-stop solution for all your procurement needs,2021,2020,"Ashish Chandra, Shaily Garg","Saama Capital, India Quotient",1
3one4 Capital,Venture Capital,Business,Business,,100000000.0,Bangalore,Use transformative capital and a deep involvement strategy to help Indian entrepreneurs,2020,2016,"Pranav Pai, Siddarth Pai",,4
Chiratae Ventures,Venture Capital,Business,Business,Seed Funding,113866383.8,Bangalore,A leading tech venture capital fund focused on enabling entrepreneurs in India.,2020,2018,"Vaishali Kulkarni, Arjun Singh Bajwa",,2
8i Ventures,Venture Capital & Private Equity,Business,Business,,50000000.0,Mumbai,8i is a Mumbai & Bangalore based early stage fund that backs founders creating fintech and consumer category leaders in India.,2021,2018,Vikram Chachra,,3
PointOne Capital,Venture Capitalist,Business,Business,,113866383.8,Bangalore,Pre-seed/Seed focussed VC investor,2020,2020,Mihir Jha,,0
Stride Ventures,Venture Capitalist,Business,Business,,80000000.0,New Delhi,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,2020,2019,Ishpreet Gandhi,Small Industries Development Bank of India,1
Apnaklub,Wholesale,Business,Business,Seed,3500000.0,Bangalore,Apnaklub is India's most trusted wholesale platform that empowers people to set up their own retail and sales businesses by providing better-than-industry margins,2021,2020,"Shruti, Manish Kumar",Sequoia?ÃÃs Surge,1
Hashtag Loyalty Private Limited,"Analytics, Crm, Loyalty Programs, Machine Learning, Marketing Automation, Retail Technology, Saas, Small And Medium Businesses",Business,Business,Seed,101098638.0252758,Mumbai,Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses.,2018,2016,,,2
infra.market,Construction,Construction,Engineering,Series D,125000000.0,Thane,Infra.Market is a Construction Solutions company that leverages technology to provide an enhanced procurement experience for all players in the construction ecosystem.,2021,2016,"Souvik Sengupta, Aaditya Sharda",Tiger Global,5
Vendor Infra,Construction,Construction,Engineering,,265000.0,Gurugram,"A B2B Collaboration Platform for Infrastructure Sectors to Search Vendors, Get Quotes, Find Opportunities",2021,2019,Rahul Jain,"SK Tripathi, Sanjeev Gupta",2
Infra.Market,Construction,Construction,Engineering,Series C,100000000.0,Thane,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,2021,2016,"Aaditya Sharda, Souvik Sengupta","InnoVen Capital, Nexus Venture Partners",5
Powerplay,Construction,Construction,Engineering,,5200000.0,Bangalore,Powerplay helps simplify end to end Construction and Architecture project management.,2021,2020,"Shubham Goyal, Lesh Dixit","Sequoia?ÃÃs Surge, Accel Partners",1
Kolo,Construction,Construction,Engineering,Pre-seed,550000.0,Bangalore,Home construction app for finding ideas and service providers near you,2021,2020,"Pranav Garg, Jery Althaf",Better Capital,1
Arth Designbuild,Construction Tech,Construction,Engineering,,1100000.0,Hyderebad,Construction technology and solutions provider,2020,2016,Swapnil Sahu,"Startup-O, Eden Ventures",4
StockEdge,"Analytics, Apps, Market Research",Consultancy,Business,Seed,1100000.0,Kolkata,"StockEdge is a unique platform, which is 100% focused on research and analytics",2018,2016,,,2
Techbooze,Consultancy,Consultancy,Business,Series A,15000000.0,,"Business Development, Consulting and Funding facilitator for Startups Enterprise",2020,2016,Mr. Subhashis Kar,Space Capital,4
Huddle,Consulting,Consultancy,Business,Seed,300000.0,Haryana,A coworking incubator Company.,2018,2016,,,2
Wasabi,Consulting,Consultancy,Business,Seed,1800000.0,Bangalore,Help small businesses grow their sales via our customer interaction and growth platform.,2021,2021,"Pradeep Dodle, Nikhil Goenka","021 Capital, Sparrow Capital",0
MentorKart,Consulting,Consultancy,Business,Seed,150000.0,New Delhi,MentorKart?Ã¤Ã³ helps to fulfil dreams and take that big step towards success.,2021,2018,"Ashish Khare, SK Mohanty","Amit Singal, Manish Aggarwal",3
Nexprt,Consulting,Consultancy,Business,,2000000.0,New Delhi,Nexprt Solutions offers end-to-end and 100% customized import solutions.,2021,2020,Harsha Vardhan K,Titan Capital,1
Disruptium,Consulting,Consultancy,Business,,200000.0,Ahmadabad,A consultancy platform for startups,2021,2021,"Yash Shah, Kapil Mathrani, Ishit Desai",Pravesh Mehta,0
Lucideus,"Consulting, Cyber Security, Network Security",Consultancy,Business,Venture - Series Unknown,5000000.0,New Delhi,"Lucideus is a cybersecurity company that offers its customers with consultancy, training, and solutions to counteract cyber-attacks.",2018,2016,,,2
Inthree Access,"Consulting, Retail, Social",Consultancy,Business,Series A,4000000.0,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018,2016,,,2
PredictiVu,Management Consulting,Consultancy,Business,Pre-seed,1500000.0,Gurugram,"PredictiVu's AI-enabled dashboard integrated with India's largest, proprietary, weekly consumer purchase data, market intelligence and web insights",2021,2020,,Kunal Sarkar,1
Fyle,"Accounting, Business Information Systems, Business Travel, Finance, Saas",E-Business,Business,Seed,1100000.0,Bengaluru,Fyle is an intelligent expense management platform for enterprises.,2018,2016,,,2
Udaan,"B2B, Business Development, Internet, Marketplace",E-Business,Business,Series C,225000000.0,Bangalore,"Udaan is a B2B trade platform, designed specifically for small and medium businesses in India.",2018,2016,,,2
CoinGeto,"Cryptocurrency, Trading Platform",E-Business,Business,Seed,1752000.0,Delhi,CoinGeto is one of India?ÃÃs most advanced digital assets exchange.,2018,2016,,,2
Be U Salons,"Apps, Beauty, Consumer, Retail",E-Commerce,Business,Seed,438000.0,New Delhi,Be U is India's first subscription based Salon Chain.,2018,2016,,,2
Shop101,"Apps, E-Commerce, Internet",E-Commerce,Business,Series B,11000000.0,Mumbai,#1 Online Selling App. India?ÃÃs leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,2018,2016,,,2
Ola,"Apps, E-Commerce, Internet, Mobile, Ride Sharing, Transportation",E-Commerce,Business,Venture - Series Unknown,50000000.0,Kormangala,Ola is a mobile app that brings together cab drivers and customers using technology to make transportation hassle-free in India.,2018,2016,,,2
UpCyclersLab,"Apps, Education, Retail",E-Commerce,Business,Seed,101098638.0252758,Mumbai,UpCyclersLab is a startup that makes sustainability-based learning tools for children above the age of five.,2018,2016,,,2
Perpule,"Apps, Payments, Retail",E-Commerce,Business,Series A,4964000.0,Bangalore,Perpule is a self-checkout product for retail outlets to enhance the shopping experience of the customers.,2018,2016,,,2
MyNewCar.in,"Automotive, E-Commerce",E-Commerce,Business,Venture - Series Unknown,1000000.0,Gurgaon,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,2018,2016,,,2
Droom Technology Private Limited,"Automotive, E-Commerce Platforms, Marketplace",E-Commerce,Business,Series E,30000000.0,Gurgaon,Droom is a marketplace for automobiles and automobile services.,2018,2016,,,2
Cardekho,"Automotive, E-Commerce, Information Services",E-Commerce,Business,Series C,75000000.0,Gurgaon,Cardekho is a car search venture that helps users buy cars that are right for them.,2018,2016,,,2
Truebil,"Automotive, E-Commerce, Marketplace",E-Commerce,Business,Series A,2000000.0,Mumbai,"Truebil is a team of young, highly motivated professionals who strive to help you buy and sell used cars in the simplest way possible.",2018,2016,,,2
GoBumpr,"Automotive, E-Commerce, Mobile",E-Commerce,Business,Seed,600000.0,Mylapore,Car Service and Bike Service Mobile App,2018,2016,,,2
Carcrew,"Automotive, Marketplace, Online Portals",E-Commerce,Business,Seed,2000000.0,Mumbai,India's Online Auto Repair Marketplace,2018,2016,,,2
Pitstop,"Automotive, Search Engine, Service Industry",E-Commerce,Business,Seed,1460000.0,Bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2018,2016,,,2
ShakeDeal,"B2B, E-Commerce, Enterprise",E-Commerce,Business,Seed,101098638.0252758,Bangalore,Home of B2B Commerce,2018,2016,,,2
Moglix,"B2B, E-Commerce, Mobile",E-Commerce,Business,Series C,23000000.0,Noida,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2018,2016,,,2
arzooo.com,"Consumer Electronics, E-Commerce, E-Commerce Platforms, Electronics, Shipping, Shopping",E-Commerce,Business,Seed,219000.0,Bangalore,E-commerce website promising the best price on any product a consumer buys anywhere on the internet.,2018,2016,,,2
InnerChef,"Cooking, E-Commerce, Food And Beverage, Food Delivery, Online Portals",E-Commerce,Business,Venture - Series Unknown,1760000.0,Gurgaon,InnerChef is an online food discovery and delivery experience that will make the foodie in you come alive.,2018,2016,,,2
Connect India,"Delivery Service, E-Commerce, Logistics",E-Commerce,Business,Angel,101098638.0252758,New Delhi,"To create pervasive network where connections are simpler, more powerful, more affordable, more global and more available to all.",2018,2016,,,2
Bombay Shaving,Ecommerce,E-Commerce,Business,,6300000.0,,Provides a range of male grooming products,2019,2016,Shantanu Deshpande,Sixth Sense Ventures,3
VilCart,Ecommerce,E-Commerce,Business,Bridge Round,113866383.8,Bangalore,"Retail industry in rural India through technology, supply chain, and logistics facilities.",2020,2018,"Prasanna Kumar, Mahesh Bhat, Rajasekhar, Amith S Mali","N S Parthasarathy, Dilipkumar Khandelwal, Anand Nichani, Anath Ravi, Prashanth Prakash",2
GabbarDeals,Ecommerce,E-Commerce,Business,,113866383.8,Pune,Online-to-Offline platforms for mobile phones & accessories,2020,2016,"Niraj Raka, Poonam Gugale, Piyush Raka",Venture Catalysts,4
Wooden Street,Ecommerce,E-Commerce,Business,Series A,3000000.0,Jaipur,It enables to order custom furniture online,2020,2015,"Lokendra Ranawat, Dinesh Pratap Singh, Virendra Ranawat, Vikas Baheti",IAN Fund,5
