Company_Brand,Sector,Main Sector,industry,Stage,Amount,HeadQuarter,What it does,Year,Founded,Founders,Investor
Infinite Uptime,IoT startup,,,Series B,5100000.0,Pune,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,2020,2015.0,Raunak Bhinge,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund"
HappyLocate,SaaS startup,,,Pre-series A,500000.0,Bangalore,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed",2020,2016.0,"Ajay Tiwari, Sainadh Duvvuru",The CoWrks Foundry
PhonePe,FinTech,,,,700000000.0,New Delhi,PhonePe is a mobile payments application that allows the user to transfer money instantly.,2020,2015.0,"Burzin Engineer, Rahul Chari, Sameer Nigam",Flipkart
Loop Health,HealthTech,,,Seed,2300000.0,Pune,Loop Health is bringing ease and choice to patients seeking major medical treatments.,2020,2017.0,"Mayank Kale, Ryan Singh","Y Combinator, Sierra Ventures"
NeoDocs,HealthTech,,,Pre-seed,,Mumbai,Neodocs analyses medical reports and provides personalised health recommendations remotely.,2020,2020.0,"Anurag Meena, Nikunj Malpani, Pratik Lodha",9Unicorns Accelerator Fund
The ePlane,Aero company,,,Seed,,Chennai,Transforming the mobility landscape using aerial transport.,2020,2016.0,"Satya Chakravarthy, Pranjal Mehta",Speciale Invest
TagMango,Marketing company,,,Seed,700000.0,Mumbai,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.",2020,2019.0,"Divyanshu Damani, Mohammad Hasan","XRM Media, Kevin Lin"
The New Shop,Retail startup,,,Seed,500000.0,New Delhi,The New Shop is a chain of high speed retail stores,2020,2019.0,"Charak Almast, Aastha Almast, Mani Dev Gyawali",Huddle Accelerator
MobiKwik,FinTech,,,,7000000.0,Gurgaon,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.",2020,2009.0,"Bipin Singh, Upasana Taku","Hindustan Media Venture, Nicolas Jarrosson"
DebugsBunny,EdTech,,,,100000.0,Pune,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,2020,2020.0,Sumit Sanjay Singare,India Angel Fund
BHIVE Investech,Co-working Startup,,,Seed,1000000.0,Bangalore,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,2020,2014.0,"Monnappa Bayavanda, Prashant Reddy, Ravindra M.K, Ravindra M.K., Shesh Paplikar, Shesh Paplikar, Sridhar Venkataraman",Blume Ventures
Rivigo,Logistics,Transport & Logistics,transport,,19000000.0,Gurgaon,Rivigo is a technology-enabled logistics platform provider that offers transport services.,2020,2014.0,"Deepak Garg, Gazal Kalra","Elevation Capital, Trifecta Capital Advisors"
ZipLoan,Finance company,,,,3000000.0,New Delhi,ZipLoan is a online lending platform,2020,2015.0,"KSHITIJ Puri, Shalabh Singhal","Stride Ventures, Matrix Partners India"
Swipez,FinTech,,,,,Pune,Swipez is a payment collection platform.,2020,2014.0,Vivek Iyer,"9Unicorns, Anicut"
Humus,AgriTech,Agritech,agriculture,,,Bangalore,Farmgate to Retail outlet Agri-Fresh produce supply chain,2020,2019.0,"Manjunatha T N, Shilpa Gopalaiah","Venture Catalysts, 9Unicorns, We Founders Circle."
Artivatic.ai,Tech company,,,,,Bangalore,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",2020,2017.0,Layak Singh,"SenseAI Ventures, Saurabh Chugh"
Prescinto,Solar Monitoring Company,,,Seed,,Ahmedabad,Prescinto provides solutions for solar monitoring and analytics solutions.,2020,2016.0,"Puneet Singh Jaggi, Sanjay Bhasin, Ram Menon","Startup incubator, Accelerator Venture Catalysts"
Toppeq,SaaS startup,,,Seed,,Mumbai,SaaS-based equity management platform,2020,2019.0,Nandini Sankar,
Bolo Indya,Video sharing platform,,,,400000.0,Gurgaon,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.",2020,2019.0,"Tanmai Paul, Varun Saxena","India Accelerator, Sunil Kamath"
Bombay Play,Gaming startup,,,Seed,1000000.0,Bangalore,Bombay Play is a Card and Toy Company Making games for India.,2020,2017.0,"Abhas Saroha, Oliver Jones, Oliver Jones","Ramakant Sharma, Leo Capital India"
FreshToHome,E-commerce,,,,,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020,2015.0,Shan Kadavil,Investment Corporation of Dubai (ICD)
KIKO TV,Video streaming platform,,,Seed,,Mumbai,KIKO TV is an AI-based short live video e-commerce platform.,2020,2020.0,"Shivam Varshney, Alok Chawla","9Point8 Capital, Sunil Kumar Singhvi"
Atomberg Technologies,Consumer appliances,,,Series B,9000000.0,Mumbai,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances",2020,2012.0,"Manoj Meena, Sibabrata Das","Sandeep Tandon, Survam Partners"
DealShare,E-commerce,,,Series C,21000000.0,Jaipur,DealShare is a Social Commerce Startup,2020,2018.0,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Falcon Edge Capital, Omidyar Network"
Smallcase,FinTech,,,,,Bangalore,Changing how India invests in equities,2020,2015.0,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath","WEH Ventures, BEENEXT"
CueMath,EdTech,,,Series C,40000000.0,Bangalore,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,2020,2011.0,Manan Khurma,"Sequoia Capital India, CapitalG"
Gamerji,Gaming startup,,,Seed,,Ahmedabad,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.",2020,2018.0,"Soham Thacker, Valay Patel, Varun Gajjar",La Gajjar Group.
5C Network,HealthTech,,,Pre-series A,1200000.0,Bangalore,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",2020,2014.0,Kalyan Sivasailam,"Axilor Ventures, Unitus Ventures"
Ethereum Push Notification Service,Blockchain startup,,,Seed,750000.0,Mumbai,EPNS is a decentralized notification protocol,2020,2020.0,"Harsh Rajat, Richa Joshi",Prolific angel investors
Mihup,Conversational AI platform,,,Series A,1500000.0,Kolkata,Intelligence-based personal mobile assistant app,2020,2016.0,"Biplab Chakraborty, Sandipan Chattopadhyay, Sandipan Mandal, Tapan Barman","Ideaspring Capital, Accel"
RuralBasket,E-commerce,,,,500000.0,"Tirunelveli, Tamilnadu",Naturally grown and healthy products directly from farmers.,2020,2019.0,Palani Rajan,Nativelead Foundation
WayCool Foods,AgriTech,Agritech,agriculture,Debt,7800000.0,Chennai,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.",2020,2015.0,"Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank"
Infra.Market,Real Estate,,,Series B,20000000.0,Thane,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,2020,2016.0,"Aaditya Sharda, Souvik Sengupta","Trifecta Capital Advisors, Nexus Venture Partners"
Info Edge Venture,Venture capitalist,,,,50000000.0,Noida,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",2020,1995.0,Sanjeev Bikhchandani,Lightbox
Clovia,E-commerce,,,Pre-series C,4000000.0,Noida,Clovia is the online lingerie retailer,2020,2013.0,"Neha Kant, Pankaj Vermani","Golden Birch Investments, She Capital"
Codingal,EdTech,,,Seed,560000.0,Bangalore,Coding education platform for K-12 students,2020,2020.0,"Satyam Baranwal, Vivek Prakash","Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator."
CRED,Finance company,,,Series C,80000000.0,Bangalore,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,2020,2018.0,Kunal Shah,"General Catalyst, Ribbit Capital"
Vistaar Finance,Finance company,,,,30000000.0,Bangalore,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,2020,2010.0,"Brahmanad, Ramakrishna Nishtala",FMO
Let's Dive,SaaS platform,,,,1700000.0,Bangalore,A platform for remote employee engagement and building team culture,2020,2020.0,"Nitesh Agrawal, Om Prakash",Surge
Habitat,EdTech,,,Seed,600000.0,,"Habitat, a social learning edtech platform for civil service aspirants",2020,2016.0,"Rohit Pande, Shikhar Sachan","Unitus Ventures, Whiteboard Capital"
SAWO Labs,SaaS platform,,,Seed,600000.0,Mumbai,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,2020,2020.0,Prabhat Sahu,"StartupXseed Ventures, 100X.VC"
Signzy,AI platform,,,,3000000.0,Bangalore,Signzy are creating 'building blocks for a Digital Trust system.,2020,2015.0,"Ankit Ratan, Ankur Pandey, Arpit Ratan","Stellaris Venture Partners, Mastercard"
KopyKitab,EdTech,,,,,Bangalore,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.",2020,2013.0,"Amit Shrivastava, Sumeet Verma","Paula Mariwala, Siddharth Anand"
Kyt,EdTech,,,,2500000.0,Singapore,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,2020,2020.0,"Bhavik Rathod, Tripti Ahuja",Sequoia Capital India’s Surge
Raskik,Fusion beverages,,,Pre-series A,1000000.0,,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,2020,2019.0,"Vikas Chawla, Abhay Parnerkar, Satyajit Ram","Venture Catalysts, 9Unicorns"
GetWork,HR Tech,,,Pre-seed,40000.0,Gurugram,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,2020,2019.0,Rahul Veerwal,India Accelerator
Mobile Premier League (MPL),Gaming,,,Series B,500000.0,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2020,2018.0,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners"
Pravasirojgar,Job portal,,,,33000000.0,,Initiative for blue-collar job workers,2020,2020.0,Sonu Sood,GoodWorker.
Omatra Hotels,Hospitality,"Travel, Tourism & Hospitality",hospitality,Seed,,Kolkata,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,2020,2017.0,"NAVEED AHAMED, SYED SAQQA ABBAS",Capify
Awign,Job portal,,,Pre-series B,,Bangalore,Operations and manpower outsourcing startup,2020,2016.0,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M"
NewsReach,Digital Media,Media Technology,business,Seed,1500000.0,Gujarat,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,2020,2018.0,"Darshan Shah, Soniya Kundnani","Mumbai Angels, JITO Angel Network."
Cashfree,FinTech,,,Series B,35000000.0,Bangalore,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,2020,2015.0,"Akash Sinha, Reeju Datta","George Osborne, Smilegate Investment"
Credgenics,FinTech,,,Pre-series A,3000000.0,New Delhi,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,2018.0,"Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures"
GeoIQ,AI startup,,,Seed,300000.0,Bangalore,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.",2020,2018.0,"Devashish Fuloria, Tusheet Shrivastava, Ankita Thakur","Ankur Mittal, Mitesh Shah"
Country Delight,Dairy startup,,,Series C,25000000.0,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020,2015.0,"Chakradhar Gade, Nitin Kaushal","IIFL Asset Management, Matrix Partners"
Quintype,Content management,,,Series A,3500000.0,Bangalore,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",2020,2014.0,Chirdeep Shetty,IIFL AMC
CARS24,Retail,Business,business,Series E,200000000.0,Haryana,CARS24 is an India-based platform for selling used cars.,2020,2015.0,"Mehul Agrawal, Ruchit Agarwal, Vikram Chopra","Global Car Group, Freemark holdings"
Astrogate Labs,Spacetech,,,,,Bangalore,Astrogate Labs provides high-quality products related to space infrastructure.,2020,2017.0,,"Venture Catalysts, Speciale Invest"
Power Gummies,HealthTech,,,Bridge,,New Delhi,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,2020,2018.0,Divij Bajaj,Venture Catalysts
Cityflo,Transportation,Transportation,transport,Series A,7000000.0,Mumbai,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,2020,2015.0,"Advaith Vishwanath, Ankit Agrawal, Jerin Venad, Rushabh Shah, Sankalp Kelshikar, Subhash Sundaravadivelu","Anupam Mittal, India Quotient"
AlgoBulls,Trading platform,,,,200000.0,Mumbai,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,2020,2019.0,"Pushpak Dagade, Jimmit Patel and Suraj Bathija",Venture Catalysts
Credgenics,FinTech,,,Pre-series A,3000000.0,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,2018.0,"Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures"
Inntot,Tech company,,,,,Kerala,"Inntot Technologies, is a technology driven company.",2020,2014.0,Rajith Nair,Unicorn India Ventures
Ensuredit,FinTech,,,Pre-series A,300000.0,Gurugram,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,2020,2019.0,"Amit, Rohit Sadhu, and Vikas Ranga",Venture Catalysts
Shipsy,AI Company,,,Series A,6000000.0,Gurugram,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,2020,2015.0,"Dhruv Agrawal, Himanshu Gupta, Soham Chokshi","DTDC, Udaan Angel Partners"
ERPNext,Tech company,,,,1000000.0,Mumbai,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",2020,2008.0,Rushabh Mehta,Rainmatter
LightSpeedAI,Photonics startup,,,,,Bangalore,Developer of an optoelectronic processor designed to accelerate AI computations.,2020,2019.0,"Rohin Y, PV Ramana","YourNest, growX ventures"
Grip Invest,FinTech,,,Pre-series A,,Gurugram,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,2020,2020.0,"Nikhil Aggarwal, Vivek Gulati",Gemba Capital
Unacademy,EdTech,,,,,Bangalore,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,2020,2015.0,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","Dragoneer Investment Group, Tiger Global Management"
Yellow Classes,EdTech,,,Pre-series A,1300000.0,Gurugram,New-age fun-learning platform for kids.,2020,2020.0,"Arpit Mittal, Anshul Gupta",India Quotient
Plum,HealthTech,,,,4100000.0,Bangalore,High quality health insurance and health benefits,2020,2019.0,"Abhishek Poddar, Saurabh Arora","Surge, Tanglin Venture Partners"
STAGE,Entertainment,,,,1000000.0,Indore,STAGE is an Indian language content platform for artist-led entertainment.,2020,2019.0,"Shashank Vaishnav, Vinay Singhal, Parveen Singhal",Venture Catalysts
Nykaa,Cosmetics,Health Care & Wellness,health,,,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2020,2012.0,Falguni Nayar,"Alia Bhatt, Katrina Kaif"
Kaagaz Scanner,Scanning app,,,,575000.0,,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,2020,2020.0,"Snehanshu Gandhi, Gaurav Shrishrimal",Pravega Ventures
NIRA,FinTech,,,,1000000.0,Bangalore,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",2020,2017.0,"Rohit Sen, Nupur Gupta","Techstars Bangalore Accelerator, Techstars"
Prolixr,Skincare startup,,,Seed,,Gurugram,A premium skincare brand committed towards building innovative skin care wellness.,2020,2018.0,"Aditya Sharma, Jayesh Hans","Alfa Ventures, Divij Bajaj"
Byju's,EdTech,,,,200000000.0,Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,2020,2011.0,"Byju Raveendran, Divya Gokulnath","Owl Ventures, Tiger Global Management"
DaMENSCH,E-commerce,,,,6000000.0,Bangalore,DaMENSCH is a designer and seller of men's apparel.,2020,2018.0,"Anurag Saboo, Gaurav Pushkar","Whiteboard Capital, Matrix Partners India"
Country Delight,Food and Beverages,,,Series C,25000000.0,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020,2015.0,"Chakradhar Gade, Nitin Kaushal","Orios Venture Partners, Matrix Partners India"
SignalX,AI startup,,,Seed,800000.0,Hyderabad,SignalX offers an artificial intelligence-powered SaaS platform,2020,2018.0,"Govind Balachandran, Zakir Wahab, Piyush Arora","9Unicorns, 3Lines VC, Hyderabad Angels"
Lancify,EdTech,,,,300000.0,Bangalore,Lancify is building the world's strongest young workforce,2020,2018.0,"Gowtham Sundaresan, Azan Barodawala","Techstars, Techstars Bangalore Accelerator"
Krimanshi,Biotechnology company,,,Seed,600000.0,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,2015.0,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City"
Instoried,AI startup,,,Pre-series A,1000000.0,Bangalore,Instoried is an augmented writing platform which improves customer interest and engagement.,2020,2018.0,"Sharmin Ali, Sutanshu Raj","Venture Catalysts, SOSV"
PlayerzPot,Gaming startup,,,Series A,3000000.0,Mumbai,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",2020,2015.0,"Yogesh, Mitesh Gangar",
Instamojo,FinTech,,,,,Bangalore,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.",2020,2012.0,"Aditya Sengupta, Akash Gehani, Harshad Sharma, Sampad Swain","BASE, Gunosy Capital"
Turtlemint,HealthTech,,,,30000000.0,Mumbai,Turtlemint has built Indian personalized insurance platform,2020,2015.0,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah","Nexus Venture Partners, Dream Incubator"
Arata,E-commerce,,,Pre-series A,1000000.0,New Delhi,Arata is an e-commerce site for beauty products and cosmetics.,2020,2017.0,"Dhruv Madhok, Dhruv Bhasin",DSG Consumer Partners
MPL,Gaming startup,,,,5000000.0,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2020,2018.0,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners"
True Balance,FinTech,,,,28000000.0,Gurugram,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,2020,2014.0,"Cheolwon Lee, Jay Yi, Martin Lee","IBK Capital, SB Partners"
Thrive,FoodTech,,,Pre-series A,,Mumbai,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.",2020,2020.0,"Dhruv Dewan, Krishi Fagwani","Whiteboard Capital, Ahimsa Capital"
Kitchens Centre,Proptech,,,Pre-series A,,New Delhi,Kitchens Centre offers turnkey solutions to cloud kitchens.,2020,2019.0,Lakshay Jain,"Jonathan Swanson, Ankush Gera"
Prescribe,HealthTech,,,,100000.0,Chennai,Provide online services to patients by leveraging WhatsApp.,2020,2019.0,Nived Narayanan,Titan Capital
Nepra,CleanTech,Energytech,Energy,Series C,18000000.0,Ahmedabad,NEPRA Resource Management provides waste management solutions in India.,2020,2006.0,Sandeep Patel,"Asha Impact, Aavishkaar Venture Capital"
inFeedo,SaaS startup,,,,3200000.0,Gurugram,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",2020,2013.0,Tanmaya Jain,"Peyush Bansal, Ritesh Malik"
Shilpa Sciences,HealthTech,,,Pre-series A,,Bangalore,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,2020,2014.0,Ashwin Lal,AngelList India
Arzooo,Tech Startup,,,,,Bangalore,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product",2020,2016.0,"Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group"
MindTickle,SaaS platform,,,Debt,100000000.0,Pune,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,2020,2011.0,"Deepak Diwakar, Krishna Depura, Mohit Garg, Nishant Mungali","Canaan Partners, NewView Capital"
Krimanshi,Biotechnology company,,,Seed,600000.0,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,2015.0,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City"
Slice,FinTech,,,Debt,5000000.0,Bangalore,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,2020,2016.0,"Deepak Malhotra, Rajan Bajaj","Better Capital, Gunosy"
Rapawalk,E-commerce,,,Seed,300000.0,Bangalore,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,2020,2017.0,"Kashif Mohammad, Aravind Maddireddy","Sanjay Ramakrishnan, Ravi Garikipati"
Oga Fit's,Fitness startup,,,Pre-series A,,Bangalore,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,2020,2017.0,Ashish Rawat,9Unicorns
LAVAL,Cosmetics,Health Care & Wellness,health,Pre-series A,,Bangalore,"Laval Cosmetics, affordable makeup for all ages",2020,2016.0,"Shrishti, Prithika",Jazal Group
Stride Ventures,Venture capitalist,,,,80000000.0,New Delhi,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,2020,2019.0,Ishpreet Gandhi,Small Industries Development Bank of India
BlackSoil,FinTech,,,,10000000.0,Mumbai,Blacksoil Advisory is an independent boutique advisory firm.,2020,2016.0,Ankur Bansal,
Biocon,Healthcare,Health Care & Wellness,health,,15000000.0,Bangalore,"Biocon is a healthcare and technology, company focused on biotechnology.",2020,1978.0,Kiran Mazumdar-Shaw,Goldman Sachs
Clientjoy,SaaS startup,,,Pre-series A,800000.0,Gujarat,Client Management Software For Modern Agencies.,2020,2013.0,"Abhishek Doshi, Anupama Panchal, Shashwat Bhatt, Yash Shah","LetsVenture, Jyotsna Bapat"
Xpressbees,E-commerce,,,,100000000.0,Pune,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,2020,2015.0,"Amitava Saha, Supam Maheshwari","Alibaba Group, InnoVen Capital"
GalaxyCard,FinTech,,,Seed,,Gurugram,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,2020,2017.0,"Amit Kumar, Gunjeet Singh",India Accelerator
Wellness Forever,HealthTech,,,,100000000.0,Mumbai,Wellness Forever is the one-stop destination for wellness,2020,2008.0,"Ashraf Biran, Gulshan Bakhtiani, Mohan Chavan","Poonawalla, Allana Group"
MoooFarm,AgriTech,Agritech,agriculture,Pre-seed,500000.0,Gurugram,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,2020,2019.0,"Param Singh, Aashna Singh, Abhijeet Mittal, Jitesh Arora","Navus Ventures, Rockstart"
BitClass,PaaS startup,,,Seed,2000000.0,Bangalore,BitClass is a PaaS solution which helps teachers set up their independent live classes,2020,2020.0,"Gunjan Kejriwal, Utsav Tiwary","AET Japan, Figure Eight Investments, Waterbridge Ventures"
Gonuts,Entertainment,,,Seed,400000.0,Mumbai,Personalised Video shoutouts from favourite celebrity.,2020,2020.0,"Vinamra Pandiya, Mayank Gupta, Joji George","Sweta Rau, Archana Priyadarshini"
Uolo,EdTech,,,Seed,2000000.0,Bangalore,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,2020,2013.0,"Pallav Pandey, Ankur Pandey, Siddharth Singh","Rajul Garg, Purvi Capital"
Kirana King,Retail,Business,business,Pre-series A,900000.0,"Jaipur, Rajastan","A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",2020,2014.0,Anup Kumar,Rajasthan Venture Capital Fund
Jade Forest,Beverages,,,Seed,250000.0,Delhi,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",2020,,"Punweet Singh, Shuchir Suri",
iKure,HealthTech,,,,,Kolkata,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,2020,2010.0,Sujay Santra,"Ratan Tata, Inflection Point Ventures, Ankur Mittal"
FrontRow,EdTech,,,Seed,3200000.0,Bangalore,"Comprehensive courses, taught by idols.",2020,,"Mikhil Raj, Shubhadit Sharma, Ishaan Preet Singh","Lightspeed, Elevation, Deepika Padukone"
Reliance Retail,E-commerce,,,,10000000.0,Mumbai,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,2020,2006.0,Mukesh Ambani,"Abu Dhabi Investment Authority, GIC"
TUBBR,Social Media,Media Technology,business,,,"Frisco, Texas, United States",World's First Personal Social Network,2020,2019.0,"Saurabh Uttam, Ravi Singhal",Global Ascent Partners
Ather Energy,Automobiles,,,Series D,35000000.0,Bangalore,Ather Energy is a manufacturer of electric scooters.,2020,2013.0,"Arun Vinayak, Swapnil Jain, Tarun Mehta",HeroMotoCorp Ltd and Sachin Bansal
Routematic,SaaS startup,,,,2000000.0,Bangalore,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,2020,2007.0,"Sriram Kannan, Surajit Das","VAMM Ventures, Naresh Malhotra"
LivFin,FinTech,,,,4700000.0,New Delhi,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),2020,2017.0,Rakesh Malhotra,"DEG, KFW DEG"
Universal Sportsbiz Pvt Ltd,Fashion startup,,,,,Bangalore,A fashion startup based in Bengaluru.,2020,2012.0,Anjana Reddy,"Accel, Alteria Capital"
Lattu Kids,EdTech,,,,,Mumbai,Lattu kids is an edutainment platform for preschool kids.,2020,2017.0,Vivek Bhutyani,Mumbai Angels Network
Eggoz,Food & Bevarages,,,Pre-series A,1500000.0,Indore,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.",2020,2016.0,"Abhishek Negi, Aditya Singh, Pankaj Pandey, Uttam Kumar","AVANA Capital, Rebright Partners"
Steradian Semiconductors,Manufacturing,Manufacturing,manufacturing,,,Bangalore,Semiconductor company focused on CMOS millimeter wave products for Radar.,2020,2016.0,"Gireesh Rajendran, Ashish Lachhwani, Apu Sivadas, Rakesh Kumar and Alok Joshi",Endiya Partners.
CHARGE+ZONE,EV startup,,,Pre-series A,3000000.0,Gujarat,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",2020,2018.0,"Kartikey Hariyani, Pavan Bakeri",Mumbai Angels
Stones2milestones,EdTech,,,Bridge,2000000.0,Gurugram,Stones2milestones is India (Delhi) Based EdTech Company,2020,2008.0,"Kavish Gadia, Nikhil Saraf","Menterra Venture Advisors, Emandi Sankara Rao"
Udacity,EdTech,,,Debt,75000000.0,California,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.",2020,2011.0,"David Stavens, Mike Sokolsky, Sebastian Thrun","Hercules Capital, Inc.Bertelsmann"
AjnaLens,AR/VR startup,,,Bridge,1000000.0,Thane,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",2020,2014.0,"Abhijit Patil, Abhishek Tomar, Pankaj Raut","Mohsin Hani Al Bahrani, MoD"
Gully Network,E-commerce,,,Pre-series A,1200000.0,Bangalore,Gully Network is a tech-enabled network of mid-sized grocery stores.,2020,2019.0,"Ajay Nain, Prateek Chaturvedi","CP Ventures, Orios Venture Partners"
TurboHire,Recruitment startup,,,Seed,1000000.0,Hyderabad,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,2020,2018.0,"Abhishek Kabra, Aman Gour","Kia Ora Ventures, Pentathlon Ventures"
Traya,HealthTech,,,Seed,,Mumbai,work with our customers closely to get their hair health sorted for long-term effective results,2020,,"Altaf Saiyed, Saloni Anand","Kae Capital, Whiteboard Capital"
